item,type,condition,full_text
11,conservation_of_nature,standard_de,"Die Internationale Union für Naturschutz ist eine internationale Organisation, die auf dem Gebiet des Naturschutzes und der nachhaltigen Nutzung natürlicher Ressourcen tätig ist. Sie ist an der Datenerfassung und ihrer Analyse, Forschung, Feldprojekten, Einflussnahme und Wissensvermittlung beteiligt. Ihre Mission ist es, Gesellschaften weltweit zu ermutigen und dabei zu unterstützen, die Natur zu erhalten, und sicherzustellen, dass die Nutzung natürlicher Ressourcen gerecht und ökologisch nachhaltig ist. In den letzten Jahrzehnten hat die Organisation ihren Fokus über die Umweltschutzökologie hinaus erweitert und bezieht nun Fragen der nachhaltigen Entwicklung in ihre Projekte ein. Im Gegensatz zu vielen anderen internationalen Umweltorganisationen ist es nicht ihr Ziel, die Öffentlichkeit für den Naturschutz zu mobilisieren. Stattdessen versucht die Organisation, das Verhalten von Regierungen, Unternehmen und anderen Interessengruppen zu beeinflussen, indem sie Informationen und Ratschläge bereitstellt und Kooperationen aufbaut. Die Organisation ist der breiten Öffentlichkeit am besten durch die Erstellung und Veröffentlichung der ""Roten Liste der bedrohten Arten"" bekannt, in der der Erhaltungszustand von Arten weltweit bewertet wird. Heute beschäftigt die Organisation rund tausend Vollzeitmitarbeiter in über fünfzig Ländern."
12,vehicle_registration_plate,standard_de,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtsprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des neunzehnten Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtsprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten."
1,janus,simple_de,"Janus ist ein Gott. Er ist der Gott für den Anfang und die Tore.
 Er hat zwei Gesichter. 
 - Ein Gesicht schaut nach vorne.
 - Ein Gesicht schaut nach hinten.
 Janus passt auf den Beginn und das Ende von Kriegen auf. 
 Er passt auch auf den Frieden auf.
 Im Krieg waren die Türen des Tempels offen. 
 Im Frieden waren die Türen des Tempels zu.
 Er war auch der Gott für Türen. 
 - Er war zuständig, wenn man ins Haus kommt. 
 - Er war zuständig, wenn man das Haus verlässt.
 Janus bedeutet Veränderung. 
 Das ist zum Beispiel:
 - Wenn etwas neu wird.
 - Wenn man von klein zu groß wird.
 - Wenn man die Meinung ändert.
 Janus wurde zu bestimmten Zeiten verehrt. 
 - Zu Beginn der Saat- und Erntezeit.
 - Bei Hochzeiten.
 - Bei Todesfällen.
 - Bei anderen Übergängen.
 Für Janus gab es keinen eigenen Priester. Der höchste Priester machte die Zeremonien.
 Janus zeigt den Weg zwischen.
 - wild und zivilisiert.
 - Land und Stadt.
 - jung und erwachsen.
 Die alten Griechen kannten Janus nicht. Die Römer kannten Janus."
2,shaka,simple_de,"Das Wort Shaka bedeutet: Alles ist okay. 
 Man zeigt das so: 
 - Die Faust ist geschlossen.
 - Der Daumen ist nach oben.
 - Der kleine Finger ist nach oben.
 Windsurfer nutzen das Zeichen als Gruß. Sie sagen: ""Hang Loose"".
 Der Gruß bedeutet etwas Bestimmtes. 
 - Die Finger sind wie der Tampen.
 - Die Faust ist wie der Haken. 
 Der Windsurfer hängt sich ein.
 Man weiß nicht genau, woher das Zeichens kommt. Es gibt viele Theorien.
 Ein Mann aus Hawaii hat das Handzeichen gemacht. 
 - Der Mann war berühmt.
 - Ihm fehlten drei Finger an einer Hand.
 Man weiß nicht, woher der Name Shaka kommt.
 Viele bekannte Menschen nutzen den Gruß.
 Viele bekannte Menschen nutzen diese Geste. 
 - Schauspieler.
 - Musiker.
 - Politiker.
 - Der Fußballer Ronaldinho.
 Er hat auch seine Hände bewegt."
3,doping,simple_de,"Im Leistungssport ist Doping verboten. 
 Doping sind Mittel, die den Körper stärker machen. 
 Sportler dürfen diese Mittel nicht nehmen.
 Manche Organisationen sagen ""Doping"". Sie machen Regeln für Sport.
 Manche Menschen nehmen Medikamente, um besser zu werden. 
 Das ist nicht in Ordnung. 
 Deswegen ist es verboten. 
 Das Internationale Olympische Komitee sagt: Das ist nicht erlaubt.
 Manche Sportler machen es noch schlimmer. Sie versuchen, nicht erwischt zu werden. Sie lügen und betrügen mit Absicht.
 Doping ist nicht neu. Doping ist alt wie der Sport.
 Früher dachten Sportler anders über Doping. Heute denken sie anders. 
 Es gab Doping im Auto-Rennen. 
 Es gab Doping im Baseball. 
 Es gab Doping im Radsport.
 In den letzten Jahren wollten Behörden und Sportvereine etwas machen. Sie wollten den Dopingkonsum im Sport stoppen.
 Es gibt drei Gründe für das Verbot:
 - Die Medikamente sind schlecht für die Gesundheit.
 - Alle Sportler sollen gleiche Chancen haben.
 - Der Sport soll ein gutes Beispiel für die Gesellschaft sein.
 Die Anti-Doping-Behörden sagen: 
 - Leistungssteigernde Medikamente sind nicht in Ordnung 
 - Sie gehören nicht zum Sport"
4,thylacine,simple_de,"Der Beutelwolf war ein großes Tier. Es lebte in Australien. Man nannte es auch Tasmanischer Tiger.
 Das letzte Tier starb im Zoo. Der Zoo ist auf Tasmanien.
 Der Wolf und der Beutelwolf sind ähnlich.
 Es gibt zwei Tiere. 
 - Sie haben gemeinsame Vorfahren. 
 - Diese Vorfahren haben sich vor sehr langer Zeit getrennt.
 Jetzt sind diese Tiere sehr ähnlich.
 Beide haben scharfe Zähne. 
 - Die vorderen Zähne sind klein.
 - Die hinteren Zähne sind groß und gebogen.
 Er lebt in offenen Wäldern und auf Grasflächen.
 Der Mensch hat ihn in die Wälder gedrängt.
 Beutelwölfe sind nachts unterwegs. Man kann sie aber auch tagsüber sehen, wenn sie in der Sonne liegen.
 Es gibt verschiedene Geschichten über die Jagd.
 Der Beutelwolf jagt sein Opfer. 
 - Er läuft hinterher, bis das Opfer müde ist.
 - Oder er schleicht sich an und überrascht das Opfer.
 Er hatte einen starken Kiefer. Damit konnte er den Schädel eines Hundes zerbrechen."
5,world_environment_day,simple_de,"Der Weltumwelttag ist am 5. Juni. 
 An diesem Tag machen Menschen etwas für die Umwelt.
 Im Jahr 1972 gab es eine große Umwelt-Konferenz. 
 Dann wurde der Weltumwelttag ins Leben gerufen. 
 Das machte das Umweltprogramm der Vereinten Nationen.
 Seit 1976 macht Deutschland etwas zum Weltumwelttag. Es gibt Aktionen für:
 - Das Recyclen.
 - Den Schutz der Natur.
 - Das Umweltbewusstsein.
 Es gibt ein großes Umweltproblem: Der Meeresspiegel steigt. Das ist besonders schlecht für kleine Inseln.
 Es gibt zwei Arten von Anlagen:
 - Thermische Solaranlagen.
 - Photovoltaikanlagen.
 Beide sind in Betrieb.
 In manchen Ländern scheint die Sonne fast jeden Tag. 
 Dort sollten die Dächer benutzt werden. 
 Das sagen einige Politiker.
 In Sri Lanka haben Menschen die Strände gesäubert. Sie haben den Plastikmüll weggenommen.
 Das Motto für 2018 war: Bekämpft den Plastikmüll.
 Das Land war Indien. Die Stadt war Neu-Delhi.
 Es gibt einen anderen Gedenktag: der Tag der Erde. Er ist ähnlich wie der Weltumwelttag."
6,monocle,simple_de,"Das Monokel ist eine Sehhilfe. Es besteht aus einem Glas. Man klemmt es vor das Auge.
 Das Monokel kommt vom Lesestein. Der Lesestein ist eine spezielle Linse.
 Das deutsche Wort ""Brille"" kommt von dort.
 Man legt den Lesestein auf das Papier.
 Das Wort Monokel kommt aus dem Französischen. Es kommt ursprünglich aus dem Altgriechischen und Latein.
 Das Monokel war früher in Deutschland und Großbritannien sehr beliebt. 
 Es war ein Zeichen für reiche Menschen.
 Viele Offiziere in den Armeen dieser beiden Länder hatten es.
 Einige Ärzte dachten: 
 - Das Zusammenkneifen der Augen ist nicht gesund. 
 - Das kann den Menschen schaden.
 Manche sagen: Nur Menschen sollen ein Monokel tragen, wenn es ihnen gut steht.
 Die Optiker haben das gemacht. Sie haben verschiedene Größen gemacht."
7,wine_tasting,simple_de,"Man probiert den Wein und sagt, ob er gut ist.
 Die Weinprobe ist sehr alt. 
 - Sie ist so alt wie der Wein. 
 - Früher war die Weinprobe einfach. 
 - Später wurde sie ordentlicher gemacht.
 Weintester beschreiben den Wein. 
 - Sie sagen, wie der Wein schmeckt.
 - Sie sagen, wie der Wein riecht.
 - Sie sagen, wie der Wein ist.
 Es gibt Studien. Diese Studien sagen: 
 - Experten können Wein nicht immer richtig probieren
 - Verbraucher können Wein nicht immer richtig probieren
 Man denkt: Teurer Wein ist besser als billiger Wein.
 Wenn man den Leuten sagt, der Wein ist teuer, sagen sie: Der Wein schmeckt gut. 
 Wenn man den Leuten sagt, der Wein ist billig, sagen sie: Der Wein schmeckt nicht so gut.
 Andere Studien zeigen: 
 - Das Urteil der Verkoster kann falsch sein. 
 - Das passiert weil sie zu viel über den Wein wissen. 
 - Zum Beispiel wissen sie, woher der Wein kommt.
 Man bekommt den Wein ohne Etikett. Der Tester sieht nicht, wie die Flasche aussieht.
 Man serviert den Wein in einem schwarzen Glas. Dann sieht man nicht, wie der Wein aussieht."
8,orange_juice,simple_de,"Orangensaft kommt von Orangen. Man drückt die Orangen aus.
 Man nennt ihn auch O-Saft.
 Orangensaft ist der Saft, den die meisten Menschen trinken. 
 Er macht die Hälfte von allen Fruchtsäften aus.
 Es gibt zwei Arten von Saft: 
 - Direktsaft 
 - Saft aus Konzentrat
 Man presst Orangen aus. Dann macht man den Saft haltbar. Das passiert meist in Brasilien.
 Das Zielland ist zum Beispiel Europa. 
 - Der Orangensaft wird mit einem Tanker dorthin gebracht.
 - Im Zielland füllen die Hersteller den Saft in Flaschen ab.
 Man macht aus dem Orangensaft Konzentrat. Das passiert im Land, wo die Orangen wachsen.
 Man macht den Orangensaft leer. 
 - Zuerst nimmt man die Aromen raus.
 - Dann nimmt man das Wasser raus.
 Ein Getränk darf nur ""Saft"" heißen, wenn es 
 - aus dem Saft der Früchte gemacht ist 
 - aus dem Fleisch der Früchte gemacht ist."
9,beekeeping,simple_de,"Der Imker hält Bienen. 
 Er macht Honig. 
 Er züchtet Bienen.
 Die Honigbienen helfen in der Landwirtschaft. 
 - Sie bestäuben Pflanzen. 
 Das ist wichtig für die Wirtschaft.
 Ein Imker braucht keine Ausbildung. 
 Viele Imker machen aber einen Kurs.
 Es gibt zwei Arten von Menschen:
 - Der Imker hält Bienen.
 - Der Zeidler sucht Honig im Wald.
 Der Imker hält seine Bienen in Bienenstöcken. 
 Dort sind die Bienen vor Regen und anderen Tieren sicher.
 Der Imker macht Honig. Das ist ein Lebensmittel. Der Imker muss sich an die Regeln für Lebensmittel halten.
 Honigbienen helfen Blumen. Sie bringen den Blumen den Staub.
 Die Honigbiene ist wichtig für die Landwirtschaft. 
 - Sie hilft bei der Bestäubung. 
 - Sie ist nach Rind und Schwein das drittwichtigste Tier.
 Honigbienen sind wichtig für die Natur. 
 Sie helfen Pflanzen wachsen. 
 Das bringt Vorteile für die Landwirtschaft. 
 Dadurch gibt es mehr Obst und Gemüse. 
 Das Obst und Gemüse ist auch besser."
10,national_flag,simple_de,"Eine Nationalflagge ist ein Symbol. 
 - Sie zeigt den Staat.
 - Sie zeigt die Freiheit des Staates.
 - Sie zeigt die Einheit des Staates.
 Sie stehen für das Land. Sie stehen auch für die Sprache des Landes.
 Man hisst die Flagge, um zu zeigen: Das ist mein Land.
 Die Nationalflagge kommt von den Flaggen auf Schiffen. 
 Diese Flaggen zeigten: Das Schiff kommt aus diesem Land.
 Man benutzt die Nationalflagge für verschiedene Dinge:
 - Für zivile Dinge.
 - Für staatliche Dinge.
 - Für militärische Dinge.
 Viele Länder haben verschiedene Flaggen. Zum Beispiel für das Militär oder für die Regierung.
 Man unterscheidet zwischen:
 - Verwendung auf dem Land.
 - Verwendung auf dem Meer.
 Die Nationalflagge kann für Streit sorgen. Zum Beispiel wenn sich die Regierung ändert. Dann wird oft die Flagge geändert.
 In Portugal wurde die Flagge geändert. Das war nach dem Ende der Monarchie. Die Zeitungen haben viel darüber geschrieben.
 An bestimmten Tagen hisst man die Flagge. 
 - An öffentlichen Gebäuden.
 - An privaten Häusern, wenn es erlaubt ist.
 In Peru und Lettland müssen alle Menschen am Nationalfeiertag etwas tun. Das ist gesetzlich so."
11,conservation_of_nature,simple_de,"Die Internationale Union für Naturschutz ist eine Organisation. 
 - Sie schützt die Natur.
 - Sie sorgt dafür, dass die Erde nicht kaputt geht.
 Sie macht folgendes:
 - Sie sammelt Daten.
 - Sie analysiert Daten.
 - Sie macht Forschung.
 - Sie macht Feldprojekte.
 - Sie will etwas verändern.
 - Sie vermittelt Wissen.
 Ihre Aufgabe ist es:
 - Die Natur zu schützen.
 - Die Erde gerecht zu nutzen. 
 - Die Erde für die Zukunft zu erhalten.
 Die Organisation macht nicht nur Umweltschutz. 
 - Sie macht auch etwas für die nachhaltige Entwicklung.
 Andere Organisationen wollen die Menschen für den Naturschutz begeistern. Das ist hier nicht das Ziel.
 Die Organisation gibt Informationen und Ratschläge. 
 Sie arbeitet mit Regierungen und Unternehmen zusammen.
 Die Organisation macht eine Liste. 
 - Diese Liste zeigt, welche Tiere und Pflanzen in Gefahr sind. 
 - Die Liste gilt für die ganze Welt.
 Die Organisation hat etwa 1000 Mitarbeiter. Sie arbeiten in über 50 Ländern."
12,vehicle_registration_plate,simple_de,"Ein Fahrzeugkennzeichen ist ein Schild. Es zeigt, welches Auto es ist.
 In allen Ländern brauchen Autos, Lastwagen und Motorräder ein Kennzeichen.
 Für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren:
 - Braucht man sie vielleicht.
 - Braucht man sie vielleicht nicht.
 Die Registrierungskennung ist eine Nummer. Sie besteht aus Buchstaben und Zahlen. Sie sagt, wem das Auto gehört.
 In einigen Ländern ist die Kennung überall gleich. 
 In anderen Ländern ist sie nur in einem Teil des Landes gleich.
 Frankreich war das erste Land mit Kennzeichen. Das war im 19. Jahrhundert.
 Früher sah jedes Kennzeichen anders aus. 
 - Es war unterschiedlich groß.
 - Es war unterschiedlich geformt.
 Deswegen musste man beim Umzug das Auto anpassen. 
 - Man musste Löcher bohren.
 - Dann konnte man das neue Kennzeichen anbringen.
 Die Platten wurden erst später gleich gemacht. 
 - Das war Ende der 50er Jahre. 
 - Die Autohersteller haben sich geeinigt. 
 - Sie haben mit Regierungen und anderen Organisationen gesprochen."
