Item,Condition,Sentence,Target
29,dative,Lucía devolvió el anillo a Fernando en el aniversario de la fiesta de casamiento.,Fernando
29,dative_doubled,Lucía le devolvió el anillo a Fernando en el aniversario de la fiesta de casamiento.,Fernando
29,accusative,Lucía vio a Fernando en el aniversario de la fiesta de casamiento.,Fernando
29,accusative_doubled,Lucía lo vio a Fernando en el aniversario de la fiesta de casamiento.,Fernando
30,dative,Iván vendió su sombrilla a Ángela en la playa de las afueras de la ciudad.,Ángela
30,dative_doubled,Iván le vendió su sombrilla a Ángela en la playa de las afueras de la ciudad.,Ángela
30,accusative,Iván abrazó a Ángela en la playa de las afueras de la ciudad.,Ángela
30,accusative_doubled,Iván la abrazó a Ángela en la playa de las afueras de la ciudad.,Ángela
31,dative,Andrea compró un cuadro a Domingo en la exposición de arte del martes.,Domingo
31,dative_doubled,Andrea le compró un cuadro a Domingo en la exposición de arte del martes.,Domingo
31,accusative,Andrea empujó a Domingo en la exposición de arte del martes.,Domingo
31,accusative_doubled,Andrea lo empujó a Domingo en la exposición de arte del martes. ,Domingo
32,dative,Mario regaló caramelos a Diana en la guardería para niños con discapacidades. ,Diana
32,dative_doubled,Mario le regaló caramelos a Diana en la guardería para niños con discapacidades. ,Diana
32,accusative,Mario conoció a Diana en la guardería para niños con discapacidades. ,Diana
32,accusative_doubled,Mario la conoció a Diana en la guardería para niños con discapacidades. ,Diana
