Item,Condition,Sentence,TargetWord
12,ungram_sg,"Das Bild, das der Fotograf gestern präsentierten in der Galerie, wurde von den Besuchern gemocht.",präsentierten
12,ungram_pl,"Die Bilder, die der Fotograf gestern präsentierten in der Galerie, wurden von den Besuchern gemocht.",präsentierten
13,gram_sg,"Die Pflanze, die die Bauern täglich wässern im Frühling, ist gesund.",wässern
13,gram_pl,"Die Pflanzen, die die Bauern täglich wässern im Frühling, sind gesund.",wässern
13,ungram_sg,"Die Pflanze, die der Bauer täglich wässern im Frühling, ist gesund.",wässern
13,ungram_pl,"Die Pflanzen, die der Bauer täglich wässern im Frühling, sind gesund.",wässern
14,gram_sg,"Die Nachspeise, die die Cousins fröhlich verschenken zum Geburtstag, wird von der Mutter fotografiert.",verschenken
14,gram_pl,"Die Nachspeisen, die die Cousins fröhlich verschenken zum Geburtstag, werden von der Mutter fotografiert.",verschenken
14,ungram_sg,"Die Nachspeise, die der Cousin fröhlich verschenken zum Geburtstag, wird von der Mutter fotografiert.",verschenken
14,ungram_pl,"Die Nachspeisen, die der Cousin fröhlich verschenken zum Geburtstag, werden von der Mutter fotografiert.",verschenken
15,gram_sg,"Das Fußballspiel, das die Journalisten abends kommentieren vor vielen Zuschauern, ist im neuen Stadion.",kommentieren
15,gram_pl,"Die Fußballspiele, die die Journalisten abends kommentieren vor vielen Zuschauern, sind im neuen Stadion.",kommentieren
15,ungram_sg,"Das Fußballspiel, das der Journalist abends kommentieren vor vielen Zuschauern, ist im neuen Stadion.",kommentieren
15,ungram_pl,"Die Fußballspiele, die der Journalist abends kommentieren vor vielen Zuschauern, sind im neuen Stadion.",kommentieren
16,gram_sg,"Das Buch, das die Philosophen aufmerksam lesen in der Bibliothek, ist sehr langweilig.",lesen
16,gram_pl,"Die Bücher, die die Philosophen aufmerksam lesen in der Bibliothek, sind sehr langweilig.",lesen
16,ungram_sg,"Das Buch, das der Philosoph aufmerksam lesen in der Bibliothek, ist sehr langweilig.",lesen
16,ungram_pl,"Die Bücher, die der Philosoph aufmerksam lesen in der Bibliothek, sind sehr langweilig.",lesen
17,gram_sg,"Die Stunde, die die Männer manchmal genießen in der Kneipe, ist sehr entspannend.",genießen
17,gram_pl,"Die Stunden, die die Männer manchmal genießen in der Kneipe, sind sehr entspannend.",genießen
17,ungram_sg,"Die Stunde, die der Mann manchmal genießen in der Kneipe, ist sehr entspannend.",genießen
17,ungram_pl,"Die Stunden, die der Mann manchmal genießen in der Kneipe, sind sehr entspannend.",genießen
18,gram_sg,"Das Interview, das die Moderatoren regelmäßig führen im Fernsehen, ist bei den Zuschauern beliebt.",führen
18,gram_pl,"Die Interviews, die die Moderatoren regelmäßig führen im Fernsehen, sind bei den Zuschauern beliebt.",führen
18,ungram_sg,"Das Interview, das der Moderator regelmäßig führen im Fernsehen, ist bei den Zuschauern beliebt.",führen
18,ungram_pl,"Die Interviews, die der Moderator regelmäßig führen im Fernsehen, sind bei den Zuschauern beliebt.",führen
19,gram_sg,"Der Plan, den die Architekten präzise zeichnen im Büro, ist sehr wichtig für den Bau des Gebäudes.",zeichnen
19,gram_pl,"Die Pläne, die die Architekten präzise zeichnen im Büro, sind sehr wichtig für den Bau des Gebäudes.",zeichnen
19,ungram_sg,"Der Plan, den der Architekt präzise zeichnen im Büro, ist sehr wichtig für den Bau des Gebäudes.",zeichnen
19,ungram_pl,"Die Pläne, die der Architekt präzise zeichnen im Büro, sind sehr wichtig für den Bau des Gebäudes.",zeichnen
20,gram_sg,"Die Waffe, die die Soldaten zufällig fanden während des Krieges, tötete viele Menschen.",fanden
20,gram_pl,"Die Waffen, die die Soldaten zufällig fanden während des Krieges, töteten viele Menschen.",fanden
20,ungram_sg,"Die Waffe, die der Soldat zufällig fanden während des Krieges, tötete viele Menschen.",fanden
20,ungram_pl,"Die Waffen, die der Soldat zufällig fanden während des Krieges, töteten viele Menschen.",fanden
21,gram_sg,"Das Geschäft, das die Hunde verbotenerweise besuchen unter der Woche, ist am Marktplatz.",besuchen
21,gram_pl,"Die Geschäfte, die die Hunde verbotenerweise besuchen unter der Woche, sind am Marktplatz.",besuchen
21,ungram_sg,"Das Geschäft, das der Hund verbotenerweise besuchen unter der Woche, ist am Marktplatz.",besuchen
21,ungram_pl,"Die Geschäfte, die der Hund verbotenerweise besuchen unter der Woche, sind am Marktplatz.",besuchen
22,gram_sg,"Der Brief, den die Detektive überraschend finden in dem Büro, hat die Unschuld des Mannes gezeigt.",finden
22,gram_pl,"Die Briefe, die die Detektive überraschend finden in dem Büro, haben die Unschuld des Mannes gezeigt.",finden
22,ungram_sg,"Der Brief, den der Detektiv überraschend finden in dem Büro, hat die Unschuld des Mannes gezeigt.",finden
22,ungram_pl,"Die Briefe, die der Detektiv überraschend finden in dem Büro, haben die Unschuld des Mannes gezeigt.",finden
23,gram_sg,"Die Operation, die die Ärzte durchgeführt haben im Notfall, rettete den Patienten das Leben.",durchgeführt haben
23,gram_pl,"Die Operationen, die die Ärzte durchgeführt haben im Notfall, retteten den Patienten das Leben.",durchgeführt haben
23,ungram_sg,"Die Operation, die der Arzt durchgeführt haben im Notfall, rettete den Patienten das Leben.",durchgeführt haben
23,ungram_pl,"Die Operationen, die der Arzt durchgeführt haben im Notfall, retteten den Patienten das Leben.",durchgeführt haben
24,gram_sg,"Die Mahlzeit, die die Köche leidenschaftlich zubereiten im neuen Restaurant, war fertig.",zubereiten
24,gram_pl,"Die Mahlzeiten, die die Köche leidenschaftlich zubereiten im neuen Restaurant, waren fertig.",zubereiten
24,ungram_sg,"Die Mahlzeit, die der Koch leidenschaftlich zubereiten im neuen Restaurant, war fertig.",zubereiten
24,ungram_pl,"Die Mahlzeiten, die der Koch leidenschaftlich zubereiten im neuen Restaurant, waren fertig.",zubereiten
